Binomial,2017,2018,Counties
Agapostemon femoratus,5,10,"Dallas, Greene, Grundy, Jasper, Story"
Agapostemon sericeus,2,,Guthrie
Agapostemon splendens,1,19,"Buchanan, Dallas, Greene, Grundy, Jasper, Story"
Agapostemon texanus,38,39,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Agapostemon virescens,211,302,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Andrena alleghaniensis,1,,Story
Andrena barbara,,2,"Dallas, Story"
Andrena canadensis,,3,Greene
Andrena commoda,6,5,"Greene, Guthrie, Jasper, Story"
Andrena cressonii cressonii,9,7,"Buchanan, Greene, Guthrie, Story"
Andrena dunningi,,1,Dallas
Andrena geranii,1,,Guthrie
Andrena hirticincta,,1,Buchanan
Andrena ignota,1,,Guthrie
Andrena imitatrix,1,,Story
Andrena nivalis,2,,Grundy
Andrena nubecula,1,2,"Greene, Story"
Andrena platyparia,,2,Greene
Andrena robertsonii,,4,"Jasper, Story"
Andrena rudbeckiae,45,109,"Buchanan, Greene, Guthrie, Jasper"
Andrena rugosa,,1,Greene
Andrena simplex,,1,Greene
Andrena sp.,7,15,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper"
Andrena spiraeana,1,,Buchanan
Andrena w-scripta,2,,"Guthrie, Story"
Andrena wilkella,9,15,"Buchanan, Greene, Guthrie, Jasper, Story"
Andrena wilmattae,2,,"Buchanan, Jasper"
Andrena ziziae,68,97,"Buchanan, Greene, Guthrie"
Anthophora terminalis,,4,"Greene, Grundy"
Anthophora walshii,,2,Greene
Apis mellifera,23,28,"Dallas, Greene, Guthrie, Jasper, Story"
Ashmeadiella bucconis,1,,Greene
Augochlora pura,,1,Guthrie
Augochlorella aurata,387,212,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Augochloropsis metallica,8,,"Greene, Jasper"
Bombus bimaculatus,15,3,"Dallas, Greene, Guthrie, Jasper, Story"
Bombus citrinus,1,,Story
Bombus fervidus,1,3,Buchanan
Bombus griseocollis,42,26,"Buchanan, Greene, Guthrie, Jasper, Story"
Bombus impatiens,38,13,"Buchanan, Dallas, Grundy, Guthrie, Jasper, Story"
Bombus pensylvanicus,17,20,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Calliopsis andreniformis,15,46,"Buchanan, Dallas, Greene, Guthrie, Jasper, Story"
Calliopsis nebraskensis,1,1,Guthrie
Ceratina calcarata,1,,Grundy
Ceratina dupla,8,34,"Buchanan, Greene, Guthrie, Jasper"
Ceratina mikmaqi,10,,"Buchanan, Greene, Guthrie"
Ceratina sp.,86,90,"Buchanan, Dallas, Greene, Guthrie, Story"
Ceratina strenua,,1,Buchanan
Coelioxys octodentata,,1,Guthrie
Coelioxys rufitarsis,,1,Story
Colletes latitarsis,7,2,"Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Colletes simulans,1,1,"Guthrie, Story"
Dieunomia heteropoda,1,,Guthrie
Dufourea novaeangliae,2,1,"Buchanan, Greene"
Epeolus bifasciatus,,5,"Grundy, Jasper"
Eucera hamata,89,168,"Buchanan, Dallas, Greene, Guthrie, Jasper, Story"
Halictus confusus,113,108,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Halictus ligatus,196,351,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Halictus parallelus,66,102,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
Halictus rubicundus,38,32,"Buchanan, Dallas, Greene, Grundy, Guthrie, Jasper, Story"
